
time 00h 01m 00s, episodes 45, frames 0.2 M, mean_epr -20.86, run_loss -32.74
time 00h 02m 00s, episodes 106, frames 0.4 M, mean_epr -20.68, run_loss -34.07
time 00h 03m 00s, episodes 166, frames 0.6 M, mean_epr -20.47, run_loss -41.32
time 00h 04m 00s, episodes 225, frames 0.8 M, mean_epr -20.41, run_loss -49.18
time 00h 05m 00s, episodes 285, frames 1.0 M, mean_epr -20.35, run_loss -51.92
time 00h 06m 00s, episodes 339, frames 1.2 M, mean_epr -20.42, run_loss -53.06
time 00h 07m 00s, episodes 398, frames 1.5 M, mean_epr -20.27, run_loss -54.41
time 00h 08m 00s, episodes 455, frames 1.7 M, mean_epr -20.18, run_loss -55.91
time 00h 09m 00s, episodes 515, frames 1.9 M, mean_epr -20.19, run_loss -55.84

	2M frames: saved model

time 00h 10m 00s, episodes 572, frames 2.1 M, mean_epr -20.20, run_loss -56.43
time 00h 11m 00s, episodes 625, frames 2.3 M, mean_epr -20.17, run_loss -54.54
time 00h 12m 00s, episodes 686, frames 2.5 M, mean_epr -20.31, run_loss -57.57
time 00h 13m 00s, episodes 746, frames 2.7 M, mean_epr -20.35, run_loss -54.76
time 00h 14m 00s, episodes 804, frames 2.9 M, mean_epr -20.34, run_loss -56.21
time 00h 15m 00s, episodes 860, frames 3.1 M, mean_epr -20.26, run_loss -55.92
time 00h 16m 00s, episodes 915, frames 3.4 M, mean_epr -20.05, run_loss -55.40
time 00h 17m 00s, episodes 973, frames 3.6 M, mean_epr -20.18, run_loss -56.63
time 00h 18m 00s, episodes 1026, frames 3.8 M, mean_epr -20.08, run_loss -56.61
time 00h 19m 00s, episodes 1085, frames 4.0 M, mean_epr -20.08, run_loss -57.47

	4M frames: saved model

time 00h 20m 00s, episodes 1140, frames 4.2 M, mean_epr -20.11, run_loss -58.74
time 00h 21m 00s, episodes 1191, frames 4.4 M, mean_epr -20.11, run_loss -57.82
time 00h 22m 00s, episodes 1254, frames 4.6 M, mean_epr -20.20, run_loss -57.31
time 00h 23m 00s, episodes 1311, frames 4.8 M, mean_epr -20.21, run_loss -57.71
time 00h 24m 00s, episodes 1368, frames 5.0 M, mean_epr -20.20, run_loss -56.65
time 00h 25m 00s, episodes 1424, frames 5.3 M, mean_epr -20.15, run_loss -56.99
time 00h 26m 00s, episodes 1480, frames 5.5 M, mean_epr -20.27, run_loss -58.07
time 00h 27m 00s, episodes 1538, frames 5.7 M, mean_epr -20.26, run_loss -55.16
time 00h 28m 00s, episodes 1593, frames 5.9 M, mean_epr -20.20, run_loss -55.17
time 00h 29m 00s, episodes 1651, frames 6.1 M, mean_epr -20.21, run_loss -56.32
time 00h 30m 00s, episodes 1712, frames 6.3 M, mean_epr -20.23, run_loss -57.66
time 00h 31m 00s, episodes 1773, frames 6.5 M, mean_epr -20.30, run_loss -57.02
time 00h 32m 00s, episodes 1828, frames 6.7 M, mean_epr -20.25, run_loss -56.24
time 00h 33m 00s, episodes 1884, frames 6.9 M, mean_epr -20.19, run_loss -57.28
time 00h 34m 00s, episodes 1939, frames 7.1 M, mean_epr -20.12, run_loss -57.29
time 00h 35m 00s, episodes 1998, frames 7.4 M, mean_epr -20.23, run_loss -58.06
time 00h 36m 00s, episodes 2055, frames 7.6 M, mean_epr -20.30, run_loss -57.23
time 00h 37m 00s, episodes 2113, frames 7.8 M, mean_epr -20.31, run_loss -58.16
time 00h 38m 00s, episodes 2170, frames 8.0 M, mean_epr -20.17, run_loss -55.65

	8M frames: saved model

time 00h 39m 00s, episodes 2225, frames 8.2 M, mean_epr -20.22, run_loss -57.06
time 00h 40m 00s, episodes 2280, frames 8.4 M, mean_epr -20.20, run_loss -58.36
time 00h 41m 00s, episodes 2339, frames 8.6 M, mean_epr -20.25, run_loss -57.68
time 00h 42m 00s, episodes 2394, frames 8.8 M, mean_epr -20.24, run_loss -59.09
time 00h 43m 00s, episodes 2450, frames 9.0 M, mean_epr -20.21, run_loss -59.55
time 00h 44m 00s, episodes 2501, frames 9.3 M, mean_epr -20.07, run_loss -61.37
time 00h 45m 00s, episodes 2562, frames 9.5 M, mean_epr -20.16, run_loss -58.84
time 00h 46m 00s, episodes 2618, frames 9.7 M, mean_epr -20.12, run_loss -57.90
time 00h 47m 00s, episodes 2675, frames 9.9 M, mean_epr -20.17, run_loss -57.77

	10M frames: saved model

time 00h 48m 00s, episodes 2729, frames 10.1 M, mean_epr -20.01, run_loss -58.53
time 00h 49m 00s, episodes 2776, frames 10.3 M, mean_epr -20.05, run_loss -60.90
time 00h 50m 00s, episodes 2816, frames 10.5 M, mean_epr -19.85, run_loss -62.69
time 00h 51m 00s, episodes 2854, frames 10.7 M, mean_epr -19.22, run_loss -69.41
time 00h 52m 00s, episodes 2886, frames 10.9 M, mean_epr -18.78, run_loss -73.41
time 00h 53m 00s, episodes 2919, frames 11.2 M, mean_epr -18.20, run_loss -79.15
time 00h 54m 00s, episodes 2952, frames 11.4 M, mean_epr -17.98, run_loss -84.88
time 00h 55m 00s, episodes 2987, frames 11.6 M, mean_epr -17.69, run_loss -84.45
time 00h 56m 00s, episodes 3018, frames 11.8 M, mean_epr -17.41, run_loss -83.99

	12M frames: saved model

time 00h 57m 00s, episodes 3047, frames 12.0 M, mean_epr -16.93, run_loss -88.36
time 00h 58m 00s, episodes 3072, frames 12.2 M, mean_epr -16.64, run_loss -92.44
time 00h 59m 00s, episodes 3101, frames 12.4 M, mean_epr -16.26, run_loss -94.79
time 01h 00m 00s, episodes 3127, frames 12.6 M, mean_epr -16.10, run_loss -100.97
time 01h 01m 00s, episodes 3154, frames 12.9 M, mean_epr -15.92, run_loss -99.35
time 01h 02m 00s, episodes 3180, frames 13.1 M, mean_epr -15.74, run_loss -104.01
time 01h 03m 00s, episodes 3208, frames 13.3 M, mean_epr -15.39, run_loss -103.92
time 01h 04m 00s, episodes 3231, frames 13.5 M, mean_epr -15.45, run_loss -106.59
time 01h 05m 00s, episodes 3256, frames 13.7 M, mean_epr -15.18, run_loss -106.81
time 01h 06m 00s, episodes 3283, frames 13.9 M, mean_epr -14.95, run_loss -109.28

	14M frames: saved model

time 01h 07m 00s, episodes 3309, frames 14.1 M, mean_epr -14.68, run_loss -112.92
time 01h 08m 00s, episodes 3332, frames 14.4 M, mean_epr -14.55, run_loss -113.75
time 01h 09m 00s, episodes 3354, frames 14.6 M, mean_epr -14.38, run_loss -113.66
time 01h 10m 00s, episodes 3378, frames 14.8 M, mean_epr -14.28, run_loss -120.54
time 01h 11m 00s, episodes 3400, frames 15.0 M, mean_epr -13.87, run_loss -119.65
time 01h 12m 00s, episodes 3423, frames 15.2 M, mean_epr -13.98, run_loss -123.98
time 01h 13m 00s, episodes 3446, frames 15.4 M, mean_epr -13.91, run_loss -125.36
time 01h 14m 00s, episodes 3467, frames 15.6 M, mean_epr -13.51, run_loss -127.41
time 01h 15m 00s, episodes 3488, frames 15.9 M, mean_epr -13.15, run_loss -128.03

	16M frames: saved model

time 01h 16m 00s, episodes 3509, frames 16.1 M, mean_epr -12.78, run_loss -128.23
time 01h 17m 01s, episodes 3531, frames 16.3 M, mean_epr -12.08, run_loss -130.11
time 01h 18m 01s, episodes 3556, frames 16.5 M, mean_epr -11.69, run_loss -133.71
time 01h 19m 01s, episodes 3577, frames 16.7 M, mean_epr -11.01, run_loss -135.14
time 01h 20m 01s, episodes 3599, frames 16.9 M, mean_epr -10.35, run_loss -135.90
time 01h 21m 01s, episodes 3619, frames 17.1 M, mean_epr -9.81, run_loss -135.47
time 01h 22m 01s, episodes 3639, frames 17.4 M, mean_epr -9.41, run_loss -138.42
time 01h 23m 01s, episodes 3660, frames 17.6 M, mean_epr -9.18, run_loss -136.14
time 01h 24m 01s, episodes 3683, frames 17.8 M, mean_epr -8.90, run_loss -139.48
time 01h 25m 01s, episodes 3705, frames 18.0 M, mean_epr -8.71, run_loss -138.53

	18M frames: saved model

time 01h 26m 01s, episodes 3727, frames 18.2 M, mean_epr -8.68, run_loss -143.04
time 01h 27m 01s, episodes 3748, frames 18.4 M, mean_epr -8.29, run_loss -138.61
time 01h 28m 01s, episodes 3768, frames 18.6 M, mean_epr -8.20, run_loss -143.56
time 01h 29m 01s, episodes 3790, frames 18.8 M, mean_epr -8.52, run_loss -144.07
time 01h 30m 01s, episodes 3812, frames 19.1 M, mean_epr -8.23, run_loss -142.15
time 01h 31m 01s, episodes 3834, frames 19.3 M, mean_epr -8.26, run_loss -144.56
time 01h 32m 01s, episodes 3856, frames 19.5 M, mean_epr -7.63, run_loss -144.11
time 01h 33m 01s, episodes 3876, frames 19.7 M, mean_epr -7.36, run_loss -145.73
time 01h 34m 01s, episodes 3898, frames 19.9 M, mean_epr -7.23, run_loss -146.18

	20M frames: saved model

time 01h 35m 01s, episodes 3920, frames 20.1 M, mean_epr -7.20, run_loss -145.98
time 01h 36m 01s, episodes 3939, frames 20.3 M, mean_epr -7.09, run_loss -146.15
time 01h 37m 01s, episodes 3962, frames 20.6 M, mean_epr -6.50, run_loss -146.24
time 01h 38m 01s, episodes 3984, frames 20.8 M, mean_epr -6.16, run_loss -145.27
