
time 00h 01m 00s, episodes 266, steps 0.2 M, mean_epr 1.20, run_loss -5.65
time 00h 02m 00s, episodes 557, steps 0.4 M, mean_epr 1.15, run_loss -5.14
time 00h 03m 00s, episodes 831, steps 0.6 M, mean_epr 1.26, run_loss -6.32
time 00h 04m 00s, episodes 1111, steps 0.8 M, mean_epr 1.16, run_loss -6.47
time 00h 05m 00s, episodes 1379, steps 1.0 M, mean_epr 1.80, run_loss -7.17
time 00h 06m 00s, episodes 1645, steps 1.2 M, mean_epr 1.74, run_loss -8.47
time 00h 07m 00s, episodes 1907, steps 1.4 M, mean_epr 1.97, run_loss -9.53
time 00h 08m 00s, episodes 2149, steps 1.6 M, mean_epr 2.16, run_loss -9.96
time 00h 09m 00s, episodes 2411, steps 1.8 M, mean_epr 1.77, run_loss -9.25

	2M steps: saved model

time 00h 10m 00s, episodes 2678, steps 2.0 M, mean_epr 1.76, run_loss -8.53
time 00h 11m 00s, episodes 2935, steps 2.2 M, mean_epr 1.86, run_loss -8.62
time 00h 12m 00s, episodes 3188, steps 2.4 M, mean_epr 1.98, run_loss -10.02
time 00h 13m 00s, episodes 3439, steps 2.6 M, mean_epr 1.94, run_loss -10.01
time 00h 14m 00s, episodes 3683, steps 2.8 M, mean_epr 2.05, run_loss -9.80
time 00h 15m 00s, episodes 3940, steps 3.0 M, mean_epr 2.02, run_loss -9.97
time 00h 16m 00s, episodes 4201, steps 3.3 M, mean_epr 1.82, run_loss -9.20
time 00h 17m 00s, episodes 4458, steps 3.5 M, mean_epr 1.97, run_loss -9.71
time 00h 18m 00s, episodes 4705, steps 3.7 M, mean_epr 2.13, run_loss -9.25
time 00h 19m 00s, episodes 4976, steps 3.9 M, mean_epr 1.70, run_loss -8.31

	4M steps: saved model

time 00h 20m 00s, episodes 5254, steps 4.1 M, mean_epr 1.43, run_loss -8.26
time 00h 21m 00s, episodes 5546, steps 4.3 M, mean_epr 1.31, run_loss -7.43
time 00h 22m 00s, episodes 5812, steps 4.5 M, mean_epr 1.86, run_loss -9.34
time 00h 23m 00s, episodes 6086, steps 4.7 M, mean_epr 1.73, run_loss -7.75
time 00h 24m 00s, episodes 6361, steps 4.9 M, mean_epr 1.51, run_loss -7.46
time 00h 25m 00s, episodes 6657, steps 5.1 M, mean_epr 1.25, run_loss -8.22
time 00h 26m 00s, episodes 6923, steps 5.3 M, mean_epr 1.68, run_loss -8.37
time 00h 27m 00s, episodes 7205, steps 5.5 M, mean_epr 1.43, run_loss -8.51
time 00h 28m 00s, episodes 7451, steps 5.7 M, mean_epr 1.96, run_loss -9.39
time 00h 29m 00s, episodes 7718, steps 5.9 M, mean_epr 1.51, run_loss -8.99

	6M steps: saved model

time 00h 30m 00s, episodes 7984, steps 6.1 M, mean_epr 1.84, run_loss -9.48
time 00h 31m 00s, episodes 8257, steps 6.3 M, mean_epr 1.70, run_loss -9.37
time 00h 32m 00s, episodes 8517, steps 6.6 M, mean_epr 1.78, run_loss -10.17
time 00h 33m 00s, episodes 8779, steps 6.8 M, mean_epr 1.93, run_loss -9.32
time 00h 34m 00s, episodes 9035, steps 7.0 M, mean_epr 1.93, run_loss -9.98
time 00h 35m 00s, episodes 9292, steps 7.2 M, mean_epr 1.97, run_loss -9.27
time 00h 36m 00s, episodes 9573, steps 7.4 M, mean_epr 1.66, run_loss -8.11
time 00h 37m 00s, episodes 9840, steps 7.6 M, mean_epr 1.80, run_loss -9.65
time 00h 38m 00s, episodes 10121, steps 7.8 M, mean_epr 1.43, run_loss -8.73

	8M steps: saved model

time 00h 39m 00s, episodes 10395, steps 8.0 M, mean_epr 1.71, run_loss -8.99
time 00h 40m 00s, episodes 10673, steps 8.2 M, mean_epr 1.58, run_loss -8.42
time 00h 41m 00s, episodes 10937, steps 8.4 M, mean_epr 1.96, run_loss -9.73
time 00h 42m 00s, episodes 11200, steps 8.6 M, mean_epr 1.86, run_loss -10.26
time 00h 43m 00s, episodes 11462, steps 8.8 M, mean_epr 1.85, run_loss -10.18
time 00h 44m 00s, episodes 11740, steps 9.1 M, mean_epr 1.54, run_loss -9.12
time 00h 45m 00s, episodes 12027, steps 9.3 M, mean_epr 1.50, run_loss -8.76
time 00h 46m 00s, episodes 12304, steps 9.5 M, mean_epr 1.64, run_loss -8.27
time 00h 47m 00s, episodes 12565, steps 9.7 M, mean_epr 1.86, run_loss -8.35
time 00h 48m 00s, episodes 12831, steps 9.9 M, mean_epr 1.81, run_loss -8.86

	10M steps: saved model

time 00h 49m 00s, episodes 13098, steps 10.1 M, mean_epr 1.80, run_loss -8.87
time 00h 50m 00s, episodes 13348, steps 10.3 M, mean_epr 2.23, run_loss -8.15
time 00h 51m 00s, episodes 13597, steps 10.5 M, mean_epr 2.08, run_loss -8.04
time 00h 52m 00s, episodes 13832, steps 10.7 M, mean_epr 2.45, run_loss -7.93
time 00h 53m 00s, episodes 14069, steps 10.9 M, mean_epr 2.52, run_loss -8.75
time 00h 54m 00s, episodes 14310, steps 11.1 M, mean_epr 2.34, run_loss -9.51
time 00h 55m 00s, episodes 14539, steps 11.4 M, mean_epr 2.57, run_loss -9.99
time 00h 56m 00s, episodes 14775, steps 11.6 M, mean_epr 2.47, run_loss -8.84
time 00h 57m 00s, episodes 14993, steps 11.8 M, mean_epr 3.09, run_loss -10.51
time 00h 58m 00s, episodes 15212, steps 12.0 M, mean_epr 2.81, run_loss -10.04

	12M steps: saved model

time 00h 59m 00s, episodes 15419, steps 12.2 M, mean_epr 2.95, run_loss -10.66
time 01h 00m 00s, episodes 15640, steps 12.4 M, mean_epr 3.12, run_loss -11.81
time 01h 01m 00s, episodes 15844, steps 12.6 M, mean_epr 3.64, run_loss -11.98
time 01h 02m 00s, episodes 16047, steps 12.8 M, mean_epr 3.49, run_loss -12.03
time 01h 03m 00s, episodes 16252, steps 13.0 M, mean_epr 3.52, run_loss -11.88
time 01h 04m 00s, episodes 16465, steps 13.3 M, mean_epr 3.22, run_loss -11.93
time 01h 05m 00s, episodes 16668, steps 13.5 M, mean_epr 3.70, run_loss -12.24
time 01h 06m 00s, episodes 16870, steps 13.7 M, mean_epr 3.68, run_loss -12.63
time 01h 07m 00s, episodes 17057, steps 13.9 M, mean_epr 4.26, run_loss -13.58

	14M steps: saved model

time 01h 08m 00s, episodes 17248, steps 14.1 M, mean_epr 3.95, run_loss -13.68
time 01h 09m 00s, episodes 17450, steps 14.3 M, mean_epr 3.81, run_loss -13.47
time 01h 10m 00s, episodes 17620, steps 14.5 M, mean_epr 4.99, run_loss -14.84
time 01h 11m 00s, episodes 17809, steps 14.7 M, mean_epr 4.43, run_loss -14.50
time 01h 12m 00s, episodes 17997, steps 14.9 M, mean_epr 4.53, run_loss -13.96
time 01h 13m 01s, episodes 18188, steps 15.2 M, mean_epr 4.41, run_loss -13.79
time 01h 14m 01s, episodes 18382, steps 15.4 M, mean_epr 4.06, run_loss -14.11
time 01h 15m 01s, episodes 18573, steps 15.6 M, mean_epr 4.13, run_loss -14.54
time 01h 16m 01s, episodes 18754, steps 15.8 M, mean_epr 4.50, run_loss -14.75

	16M steps: saved model

time 01h 17m 01s, episodes 18939, steps 16.0 M, mean_epr 4.47, run_loss -15.02
time 01h 18m 01s, episodes 19123, steps 16.2 M, mean_epr 4.49, run_loss -14.71
time 01h 19m 01s, episodes 19302, steps 16.4 M, mean_epr 4.82, run_loss -14.98
time 01h 20m 01s, episodes 19479, steps 16.7 M, mean_epr 4.88, run_loss -15.33
time 01h 21m 01s, episodes 19638, steps 16.9 M, mean_epr 5.48, run_loss -16.76
time 01h 22m 01s, episodes 19801, steps 17.1 M, mean_epr 5.54, run_loss -16.28
time 01h 23m 01s, episodes 19970, steps 17.3 M, mean_epr 5.34, run_loss -16.26
time 01h 24m 01s, episodes 20132, steps 17.5 M, mean_epr 5.63, run_loss -16.61
time 01h 25m 01s, episodes 20287, steps 17.7 M, mean_epr 6.55, run_loss -18.11
time 01h 26m 01s, episodes 20435, steps 17.9 M, mean_epr 6.86, run_loss -18.30

	18M steps: saved model

time 01h 27m 01s, episodes 20579, steps 18.2 M, mean_epr 6.87, run_loss -18.65
time 01h 28m 01s, episodes 20726, steps 18.4 M, mean_epr 6.85, run_loss -19.40
time 01h 29m 01s, episodes 20863, steps 18.6 M, mean_epr 7.21, run_loss -19.39
time 01h 30m 01s, episodes 21008, steps 18.8 M, mean_epr 7.73, run_loss -19.62
time 01h 31m 01s, episodes 21157, steps 19.0 M, mean_epr 7.02, run_loss -18.64
time 01h 32m 01s, episodes 21291, steps 19.2 M, mean_epr 7.52, run_loss -20.19
time 01h 33m 01s, episodes 21431, steps 19.4 M, mean_epr 7.76, run_loss -20.60
time 01h 34m 01s, episodes 21572, steps 19.7 M, mean_epr 7.65, run_loss -20.09
time 01h 35m 01s, episodes 21710, steps 19.9 M, mean_epr 7.56, run_loss -19.75

	20M steps: saved model

time 01h 36m 01s, episodes 21849, steps 20.1 M, mean_epr 7.90, run_loss -20.10
time 01h 37m 01s, episodes 21977, steps 20.3 M, mean_epr 8.23, run_loss -20.75
time 01h 38m 01s, episodes 22111, steps 20.5 M, mean_epr 8.30, run_loss -21.15
time 01h 39m 01s, episodes 22238, steps 20.7 M, mean_epr 8.65, run_loss -21.63
time 01h 40m 01s, episodes 22363, steps 20.9 M, mean_epr 9.10, run_loss -22.15
time 01h 41m 01s, episodes 22492, steps 21.2 M, mean_epr 8.76, run_loss -21.67
time 01h 42m 01s, episodes 22621, steps 21.4 M, mean_epr 8.76, run_loss -21.87
time 01h 43m 01s, episodes 22747, steps 21.6 M, mean_epr 8.95, run_loss -22.20
time 01h 44m 01s, episodes 22872, steps 21.8 M, mean_epr 9.01, run_loss -22.77

	22M steps: saved model

time 01h 45m 01s, episodes 22999, steps 22.0 M, mean_epr 9.08, run_loss -22.39
time 01h 46m 01s, episodes 23116, steps 22.2 M, mean_epr 10.01, run_loss -23.34
time 01h 47m 01s, episodes 23231, steps 22.4 M, mean_epr 10.54, run_loss -24.38
time 01h 48m 01s, episodes 23348, steps 22.7 M, mean_epr 10.78, run_loss -24.48
time 01h 49m 01s, episodes 23465, steps 22.9 M, mean_epr 11.08, run_loss -24.56
time 01h 50m 01s, episodes 23572, steps 23.1 M, mean_epr 11.59, run_loss -25.11
time 01h 51m 01s, episodes 23682, steps 23.3 M, mean_epr 11.41, run_loss -25.41
time 01h 52m 01s, episodes 23786, steps 23.5 M, mean_epr 12.16, run_loss -26.24
time 01h 53m 01s, episodes 23897, steps 23.7 M, mean_epr 12.01, run_loss -26.12
time 01h 54m 01s, episodes 23997, steps 24.0 M, mean_epr 13.11, run_loss -27.56

	24M steps: saved model

time 01h 55m 01s, episodes 24093, steps 24.2 M, mean_epr 14.41, run_loss -29.08
time 01h 56m 01s, episodes 24191, steps 24.4 M, mean_epr 14.87, run_loss -29.20
time 01h 57m 01s, episodes 24274, steps 24.6 M, mean_epr 16.19, run_loss -31.16
time 01h 58m 01s, episodes 24365, steps 24.8 M, mean_epr 16.86, run_loss -32.24
time 01h 59m 01s, episodes 24454, steps 25.1 M, mean_epr 16.49, run_loss -31.16
time 02h 00m 01s, episodes 24532, steps 25.3 M, mean_epr 18.71, run_loss -33.73
time 02h 01m 01s, episodes 24613, steps 25.5 M, mean_epr 19.31, run_loss -33.56
time 02h 02m 01s, episodes 24690, steps 25.7 M, mean_epr 20.83, run_loss -35.20
time 02h 03m 01s, episodes 24768, steps 25.9 M, mean_epr 20.00, run_loss -36.18

	26M steps: saved model

time 02h 04m 01s, episodes 24844, steps 26.1 M, mean_epr 21.65, run_loss -37.22
time 02h 05m 01s, episodes 24918, steps 26.4 M, mean_epr 22.06, run_loss -36.52
time 02h 06m 01s, episodes 24993, steps 26.6 M, mean_epr 22.50, run_loss -37.85
time 02h 07m 01s, episodes 25064, steps 26.8 M, mean_epr 22.95, run_loss -37.93
time 02h 08m 01s, episodes 25130, steps 27.0 M, mean_epr 26.24, run_loss -40.93
time 02h 09m 01s, episodes 25200, steps 27.2 M, mean_epr 26.60, run_loss -41.52
time 02h 10m 01s, episodes 25257, steps 27.4 M, mean_epr 28.84, run_loss -42.26
time 02h 11m 01s, episodes 25325, steps 27.7 M, mean_epr 28.89, run_loss -43.09
